year;month;rainfall
1940;Jan;82.9
1940;Feb;64.9
1940;Mar;111.3
1940;Apr;56.5
1940;May;15.8
1940;Jun;83.7
1940;Aug;9
1940;Sep;73.3
1940;Oct;23.2
1940;Nov;193.3
1940;Dec;138.7
1941;Jan;60.4
1941;Feb;32.5
1941;Mar;169.9
1941;Apr;144.8
1941;May;0.8
1941;Jul;18.8
1941;Aug;1.8
1941;Sep;4.6
1941;Oct;43.8
1941;Nov;32.2
1941;Dec;182.7
1942;Jan;342.5
1942;Feb;80.5
1942;Mar;238.6
1942;Apr;7.1
1942;May;55.4
1942;Jun;32.3
1942;Jul;1
1942;Aug;33.8
1942;Sep;54.9
1942;Oct;51.2
1942;Nov;155.1
1942;Dec;56.2
1943;Jan;67.1
1943;Feb;38.6
1943;Mar;151.2
1943;Apr;83.1
1943;May;31.2
1943;Jun;0.5
1943;Jul;55.9
1943;Aug;84.7
1943;Sep;62
1943;Oct;106.5
1943;Nov;151.6
1943;Dec;71.2
1944;Jan;80.3
1944;Feb;146.8
1944;Mar;83.9
1944;Apr;6.6
1944;May;0.8
1944;Jun;47
1944;Aug;13.5
1944;Sep;9.9
1944;Oct;105.3
1944;Nov;41.4
1944;Dec;158
1945;Jan;162.4
1945;Feb;67.4
1945;Mar;123.4
1945;May;0.3
1945;Aug;3
1945;Oct;67.8
1945;Nov;31.4
1946;Jan;165.3
1946;Sep;1.8
1946;Oct;0.5
1947;Jan;144.3
1947;Mar;123.7
1947;Apr;63.4
1947;Jul;6.6
1947;Oct;97.3
1947;Dec;274.2
1948;Jan;138.5
1948;Feb;121.7
1948;Mar;133.4
1948;Apr;10.2
1948;May;2.6
1948;Jul;0.5
1948;Sep;36.5
1948;Oct;140.3
1948;Nov;84.3
1948;Dec;86.1
1949;Jan;202.5
1949;Feb;107
1949;Mar;28.5
1949;Apr;84.1
1949;May;10.2
1949;Jul;0.5
1949;Sep;46.7
1949;Oct;19
1949;Nov;149.8
1949;Dec;212.6
1950;Jan;70.7
1950;Feb;64.1
1950;Mar;49.3
1950;Apr;40.4
1950;May;48.7
1950;Jun;0.5
1950;Jul;14.7
1950;Aug;2.1
1950;Sep;5.2
1950;Oct;43.3
1950;Nov;49.1
1950;Dec;177.1
1951;Jan;29
1951;Feb;16.5
1951;Mar;51.7
1951;Apr;46.8
1951;May;16.6
1951;Jun;1.2
1951;Jul;1
1951;Aug;38.6
1951;Sep;7.2
1951;Oct;40.1
1951;Dec;41.2
1952;Jan;78.2
1952;Feb;103.5
1952;Mar;123.8
1952;Apr;19.4
1952;May;26.7
1952;Jun;11.7
1952;Jul;41.2
1952;Aug;1.3
1952;Sep;4.3
1952;Oct;29.5
1952;Nov;148
1952;Dec;189.8
1953;Jan;89.1
1953;Feb;239.3
1953;Mar;78.4
1953;Apr;43.1
1953;May;19.5
1953;Jul;0.9
1953;Aug;0.5
1953;Sep;12.4
1953;Nov;82.3
1953;Dec;51.4
1954;Jan;165.7
1954;Feb;75.4
1954;Mar;81.4
1954;Apr;61.8
1954;May;20.8
1954;Jun;1.3
1954;Aug;27.6
1954;Sep;26.1
1954;Oct;50.9
1954;Nov;202.3
1954;Dec;80.6
1955;Jan;193.3
1955;Feb;184.1
1955;Mar;74.2
1955;Apr;132
1955;May;23.7
1955;Jun;4.7
1955;Aug;0.5
1955;Sep;10.9
1955;Oct;155
1955;Nov;160.6
1955;Dec;179.3
1956;Jan;144.1
1956;Feb;228
1956;Mar;145.9
1956;Apr;0.7
1956;Jun;25.8
1956;Jul;5.7
1956;Aug;0.4
1956;Sep;86
1956;Oct;66.3
1956;Nov;95.4
1956;Dec;121.1
1957;Jan;80.6
1957;Feb;101.5
1957;Mar;135
1957;Apr;64.4
1957;May;15.9
1957;Jun;5.8
1957;Jul;39.8
1957;Aug;50.6
1957;Sep;77.1
1957;Oct;54.8
1957;Nov;51.9
1957;Dec;204
1958;Jan;332
1958;Feb;101.2
1958;Mar;26.8
1958;Apr;78.4
1958;Jun;12.6
1958;Jul;3
1958;Sep;75.5
1958;Oct;57.5
1958;Nov;95.5
1958;Dec;174.9
1959;Oct;73
1959;Nov;58.6
1959;Dec;132.8
1960;Apr;106.3
1960;May;7.2
1960;Jun;0.2
1960;Jul;0.4
1960;Aug;7.9
1960;Sep;31.2
1960;Oct;37.8
1960;Nov;179.7
1960;Dec;181.4
1961;Jan;123.8
1961;Feb;103
1961;Mar;117.3
1961;Apr;85
1961;May;15.4
1961;Jun;65.1
1961;Jul;11.3
1961;Aug;25.8
1961;Sep;49
1961;Oct;66
1961;Nov;112.1
1961;Dec;172.8
1962;Jan;57.6
1962;Feb;54.7
1962;Mar;97.7
1962;Apr;55.1
1962;May;33.3
1962;Jun;3
1964;Jan;140.3
1964;Feb;84.5
1964;Mar;16.5
1964;Apr;76.6
1964;May;0.9
1964;Jul;1.6
1964;Aug;0.8
1964;Sep;2.4
1964;Oct;134.9
1964;Nov;130.1
1964;Dec;164.7
1965;Jan;124.7
1965;Feb;51.2
1965;Mar;31.3
1965;Apr;16.8
1965;May;10.3
1965;Jun;0.4
1965;Jul;5
1965;Aug;11
1965;Sep;34.4
1965;Oct;37.7
1965;Nov;171.6
1965;Dec;63.3
1966;Jan;190.2
1966;Feb;99
1966;Mar;1.8
1966;Apr;18.6
1966;May;1.3
1966;Jun;18.7
1966;Jul;4.1
1966;Aug;22.8
1966;Sep;19
1966;Oct;89.6
1966;Nov;112.1
1966;Dec;237.1
1967;Jan;74.1
1967;Feb;178.6
1967;Mar;61.2
1967;Apr;151.7
1967;May;16.9
1967;Jun;3.9
1967;Jul;9
1967;Aug;17.2
1967;Sep;0.1
1967;Oct;69.2
1967;Nov;140.3
1967;Dec;82.6
1968;Jan;66.7
1968;Feb;95.6
1968;Mar;74.1
1968;Apr;33
1968;May;14.2
1968;Jun;20.2
1968;Jul;7.2
1968;Aug;5.6
1968;Sep;5.2
1968;Oct;46.1
1968;Nov;152.7
1968;Dec;50.7
1969;Jan;82.1
1969;Feb;85.1
1969;Mar;199.2
1969;Apr;28.6
1969;May;18
1969;Jun;0.6
1969;Jul;12.3
1969;Aug;0.3
1969;Sep;59.8
1969;Oct;134.4
1969;Nov;120.4
1969;Dec;183.6
